,epsilon_progress,nfe
0,0,0
1,77,100
2,330,1194
3,482,2291
4,622,3386
5,744,4480
6,864,5572
7,955,6667
8,1037,7761
9,1104,8854
10,1156,9951
11,1191,12229
12,1250,13530
13,1314,14832
14,1381,16133
15,1463,17435
16,1527,18737
17,1576,20038
18,1635,21340
19,1686,22639
20,1743,23941
21,1788,25243
22,1837,26543
23,1886,27845
24,1932,29147
25,1986,30449
26,2019,31750
27,2056,33052
28,2098,34354
29,2147,35656
30,2195,36958
31,2243,38260
32,2287,39562
33,2319,40864
34,2358,42166
35,2391,43468
36,2419,44770
37,2452,46072
38,2490,47374
39,2521,48674
40,2556,49976
41,2582,51278
42,2607,52580
43,2634,53882
44,2676,55184
45,2710,56486
46,2739,57788
47,2768,59087
48,2795,60389
49,2821,61691
50,2841,62993
51,2863,64295
52,2885,65597
53,2909,66898
54,2937,68200
55,2964,69501
56,2995,70803
57,3009,72105
58,3025,73407
59,3055,74709
60,3078,76011
61,3096,77313
62,3122,78615
63,3149,79916
64,3176,81218
65,3199,82520
66,3228,83821
67,3244,85123
68,3269,86425
69,3291,87727
70,3311,89029
71,3331,90329
72,3350,91630
73,3369,92932
74,3387,94234
75,3411,95536
76,3434,96838
77,3469,98139
78,3493,99440
